rank,player,country,club,total_earnings_musd,source_note
1,Cristiano Ronaldo,Portugal,Al Nassr,280,Forbes highest-paid soccer players 2025
2,Lionel Messi,Argentina,Inter Miami,130,Forbes highest-paid soccer players 2025
3,Karim Benzema,France,Al Ittihad,104,Forbes highest-paid soccer players 2025
4,Kylian Mbappe,France,Real Madrid,95,Forbes highest-paid soccer players 2025
5,Erling Haaland,Norway,Manchester City,80,Forbes highest-paid soccer players 2025
6,Vinicius Junior,Brazil,Real Madrid,60,Forbes highest-paid soccer players 2025
7,Mohamed Salah,Egypt,Liverpool,55,Forbes highest-paid soccer players 2025
8,Sadio Mane,Senegal,Al Nassr,54,Forbes highest-paid soccer players 2025
9,Jude Bellingham,England,Real Madrid,44,Forbes highest-paid soccer players 2025
10,Lamine Yamal,Spain,Barcelona,43,Forbes highest-paid soccer players 2025
